Country,"Mortality Rates from Communicable Diseases, 2019"
Afghanistan,32.93
Angola,59.16
Albania,3.02
"United Arab Emirates",7.09
Argentina,17.6
Armenia,6.69
"Antigua and Barbuda",9.83
Australia,4.94
Austria,3.57
Azerbaijan,5.99
Burundi,51.17
Belgium,7.9
Benin,51.83
"Burkina Faso",54.1
Bangladesh,22.61
Bulgaria,2.21
Bahrain,5.01
"Bahamas, The",10.71
"Bosnia and Herzegovina",1.81
Belarus,1.61
Belize,15.94
Bolivia,18.62
Brazil,13.71
Barbados,12.9
"Brunei Darussalam",10.34
Bhutan,18.21
Botswana,44.9
"Central African Republic",59.06
Canada,4.77
Switzerland,4.75
Chile,7.11
China,3.55
"Cote d'Ivoire",54.31
Cameroon,51.82
"Congo, Dem. Rep.",56.18
"Congo, Rep.",51.97
Colombia,10.34
Comoros,44.07
"Cabo Verde",15.83
"Costa Rica",7.13
Cuba,9.22
Cyprus,4.79
Czechia,5.83
Germany,4.76
Djibouti,37.41
Denmark,6.83
"Dominican Republic",12.58
Algeria,12.98
Ecuador,12.34
"Egypt, Arab Rep.",9.63
Eritrea,38.64
Spain,5.61
Estonia,3.58
Ethiopia,44.65
Finland,1.42
Fiji,9.35
France,6.37
"Micronesia, Fed. Sts.",12.71
Gabon,46.27
"United Kingdom",8.16
Georgia,2.75
Ghana,45.24
Guinea,57.96
"Gambia, The",52.17
Guinea-Bissau,57.62
"Equatorial Guinea",59.51
Greece,12.85
Grenada,11.34
Guatemala,22.31
Guyana,17.41
Honduras,10.68
Croatia,3.4
Haiti,24.66
Hungary,1.98
Indonesia,18.93
India,24.17
Ireland,5.68
"Iran, Islamic Rep.",8.09
Iraq,15.3
Iceland,4.97
Israel,10.32
Italy,5.5
Jamaica,8.97
Jordan,10.01
Japan,10.3
Kazakhstan,5.12
Kenya,48.29
"Kyrgyz Republic",10.44
Cambodia,23.03
Kiribati,21.62
"Korea, Rep.",12.83
Kuwait,7.09
"Lao PDR",25.64
Lebanon,5.55
Liberia,58.43
Libya,10.39
"St. Lucia",7.94
"Sri Lanka",9.47
Lesotho,42.19
Lithuania,3.41
Luxembourg,5.36
Latvia,3.04
Morocco,8.91
Moldova,4.47
Madagascar,45.46
Maldives,8.16
Mexico,9.09
"North Macedonia",1.28
Mali,60.25
Malta,7
Myanmar,21.6
Montenegro,1.41
Mongolia,6.31
Mozambique,54.44
Mauritania,52.71
Mauritius,7.26
Malawi,49.65
Malaysia,18.14
Namibia,45.15
Niger,59.17
Nigeria,65.21
Nicaragua,9.45
Netherlands,6
Norway,7.68
Nepal,24.82
"New Zealand",4.35
Oman,9.76
Pakistan,33.15
Panama,13.37
Peru,17.54
Philippines,24.28
"Papua New Guinea",30.27
Poland,5.85
"Korea, Dem. People's Rep.",12.79
Portugal,8.52
Paraguay,13.95
Qatar,4.95
Romania,5.33
"Russian Federation",3.9
Rwanda,38.18
"Saudi Arabia",7.13
Sudan,35.55
Senegal,43.75
Singapore,20.71
"Solomon Islands",23.4
"Sierra Leone",56.68
"El Salvador",15.8
Somalia,61.02
Serbia,2.71
"South Sudan",61.3
"Sao Tome and Principe",30.95
Suriname,11.81
"Slovak Republic",5.1
Slovenia,2.65
Sweden,5.92
Eswatini,42.08
Seychelles,13.49
"Syrian Arab Republic",10.66
Chad,63.45
Togo,48.56
Thailand,13.9
Tajikistan,19.49
Turkmenistan,21.95
Timor-Leste,40.06
Tonga,11.08
"Trinidad and Tobago",6.98
Tunisia,7.14
Turkiye,5.17
Tanzania,54.34
Uganda,51.66
Ukraine,3.13
Uruguay,7.15
"United States",5.3
Uzbekistan,8.21
"St. Vincent and the Grenadines",13.11
"Venezuela, RB",15.56
"Viet Nam",9.3
Vanuatu,16.86
Samoa,10.37
"Yemen, Rep.",30.15
"South Africa",35.68
Zambia,56.52
Zimbabwe,47.65
