Heavily indebted poor countries (HIPC),25.01517024,31.07029775,36.4227999,39.91814132
Croatia,90.81114432,92.77660933,92.70055299,91.53847078
Haiti,46.65506319,16.32121926,61.09697363,64.71693516
Hungary,91.28597065,92.98561663,93.3431936,93.88591479
IBRD only,65.55486192,72.87981694,76.45654171,78.6929458
IDA & IBRD total,55.6632262,63.50110595,67.59079005,70.52687018
IDA total,30.915895,38.5007229,42.77069735,46.5952603
IDA blend,32.2795114,38.93604563,42.12282354,44.90012646
Indonesia,60.53103709,69.06946802,73.07137525,76.32642569
IDA only,30.23657005,38.2684584,43.13853271,47.55914047
Isle of Man,,,,
India,44.01721423,54.79487406,62.04295314,65.93320195
Not classified,,,,
Ireland,85.061499,88.5883114,89.96541867,90.40586873
"Iran, Islamic Rep.",69.73453706,74.62201219,79.28103275,81.30715499
Iraq,58.79842609,60.42327207,55.63171987,66.8927789
Iceland,87.87932784,89.82445038,89.6674951,89.47106595
Israel,87.16835046,86.8961751,85.61702271,85.44650343
Italy,91.95036944,92.24684663,91.14898321,90.63850586
Jamaica,72.92663105,76.20397397,79.22394363,79.29706359
Jordan,69.69093668,72.66744284,75.01021532,79.60606586
Japan,79.81695031,80.27795288,81.5693595,84.79052481
Kazakhstan,79.6021178,81.51751338,84.02310576,86.67545212
Kenya,20.56330762,28.96933062,34.19380733,40.85647922
Kyrgyz Republic,73.58341199,76.94121,80.11152876,81.58617806
Cambodia,39.11997048,57.27076162,63.83025773,67.72095765
Kiribati,64.32234325,67.82891036,69.5397914,72.81345533
St. Kitts and Nevis,,,,
"Korea, Rep.",81.58143079,80.16225483,79.95422332,77.91041861
Kuwait,71.43405408,71.76501986,72.97964575,79.36927174
Latin America & Caribbean (excluding high income),66.68820238,67.44011901,74.50819457,75.58602888
Lao PDR,39.80226647,52.68332424,59.30294596,65.34294806
Lebanon,80.7170111,87.05274986,87.32359066,88.55113038
Liberia,20.12962245,28.07753381,26.91964845,31.65506225
Libya,70.28158728,74.84922323,65.89728165,75.05032133
St. Lucia,79.77428396,80.54004012,81.59928305,82.09678525
Latin America & Caribbean,67.17055631,68.07446715,74.55605452,75.50314965
Least developed countries: UN classification,28.40950776,36.20129606,41.47137279,45.56607276
Low income,26.08967941,34.25805423,37.65899681,41.60011404
Liechtenstein,,,,
Sri Lanka,74.36298531,75.96775357,82.67311054,82.51870485
Lower middle income,44.34197404,53.45259491,59.41331293,62.86847068
Low & middle income,55.03020223,63.07956216,67.25084452,70.25785234
Lesotho,27.6395141,38.41089484,44.36180207,45.08028614
Late-demographic dividend,79.26811327,84.19741751,85.79212653,86.99253675
Lithuania,85.12989714,88.54511913,89.68834434,91.15427576
Luxembourg,88.30811333,87.25707594,88.47320103,88.59662626
Latvia,86.19442252,91.06299326,91.6897535,91.99360983
"Macao SAR, China",,,,
St. Martin (French part),,,,
Morocco,67.71819255,77.06225522,81.43209742,84.19028947
Monaco,,,,
Moldova,86.83374166,87.17076655,88.734125,89.48423797
Madagascar,31.39891877,40.03306578,42.78570322,45.02536418
Maldives,71.85809211,82.86585448,84.48025507,85.17819216
Middle East & North Africa,68.18709836,74.76461865,73.64303695,78.51512962
Mexico,70.15557201,76.06378413,79.81323406,80.41030921
Marshall Islands,,,,
Middle income,58.90456243,66.48554496,70.70246075,73.43292481
North Macedonia,92.82767203,95.24205645,95.34250983,96.13187058
Mali,22.19537077,25.9261434,28.21753336,30.32226025
Malta,88.19595549,91.24020105,90.54778928,89.74520881
Myanmar,49.04678343,59.42926306,66.45948499,71.14452521
Middle East & North Africa (excluding high income),67.50055592,74.68827024,73.4308639,78.69140615
Montenegro,90.00554297,92.64936495,93.86323214,94.10594521
Mongolia,71.91355776,78.04064093,79.80130347,82.7159926
Northern Mariana Islands,,,,
Mozambique,24.19525142,30.21065194,33.0677058,36.16416716
Mauritania,27.13242637,29.7623917,33.63813264,37.06475973
Mauritius,85.47217368,85.96283067,87.99029623,88.38148384
Malawi,21.54099643,29.99160074,36.99632389,40.18837238
Malaysia,73.16676743,71.47497846,71.00979977,73.44297833
North America,88.0302481,88.16027701,88.09552236,88.28837655
Namibia,30.44259794,40.25588299,42.8480491,43.03717294
New Caledonia,,,,
Niger,16.57137197,23.44065887,27.60834913,30.3541426
Nigeria,20.53028907,24.06131857,25.67903071,27.13170983
Nicaragua,64.63994394,74.7532462,79.09849115,81.63989588
Netherlands,89.17118858,89.42434998,89.29530553,88.23418881
Norway,87.09045189,87.67241123,87.18646953,86.72212993
Nepal,33.94062278,54.21488619,59.84924173,66.45732167
Nauru,,,,
New Zealand,91.2871646,89.80817291,89.93336684,89.60189855
OECD members,85.80685483,86.86325484,87.08140621,87.35509883
Oman,73.85881198,76.18140689,78.4870923,79.7897919
Other small states,42.68680007,50.18819688,53.96570633,56.00963274
Pakistan,45.65942715,53.02170577,56.77994139,59.85586752
Panama,69.24782956,69.87541881,75.30935816,77.85999056
Peru,55.33830091,67.2530839,70.42886575,72.58608494
Philippines,55.18087964,64.0094112,67.21609198,69.74914436
Palau,,,,
Papua New Guinea,43.4220808,52.70429829,59.35419627,62.35453338
Poland,89.29019268,90.00743796,90.37621855,89.90689765
Pre-demographic dividend,23.47021649,29.19229718,32.21917637,35.24319826
Puerto Rico,,,,
"Korea, Dem. People's Rep.",48.0942922,76.18485437,82.16188059,80.40000068
Portugal,87.11529011,86.58737763,86.2288184,86.68927794
Paraguay,61.13163506,69.07705869,72.97708021,74.93833689
West Bank and Gaza,,,,
Pacific island small states,69.42720767,74.89178075,76.09950827,77.22738419
Post-demographic dividend,87.53542792,88.15648841,88.02456326,88.25601263
French Polynesia,,,,
Qatar,74.68823994,68.46692477,71.97918372,76.89000924
Romania,89.84730209,92.09088133,92.24902514,91.03714616
Russian Federation,83.13497702,86.33877144,87.64232585,89.30532989
Rwanda,29.94075432,39.33089444,46.41046082,50.39268806
South Asia,44.05561461,54.83413708,61.25406676,65.27528819
Saudi Arabia,69.51023282,72.38398096,71.94865985,73.4102211
Sudan,36.00587717,44.71985072,50.43995596,53.94524621
Senegal,28.1616498,37.7096936,42.10091453,44.91034078
Singapore,80.1492391,77.45355882,75.75050458,75.02124811
Solomon Islands,49.05842467,61.54639956,65.14170401,66.83169878
Sierra Leone,18.66844288,25.498224,27.20111011,34.07439816
El Salvador,55.51876936,64.48024256,64.8850274,65.10758747
San Marino,,,,
Somalia,22.51370867,25.06036983,27.53450393,29.87902607
Serbia,92.72508155,94.83176079,94.29801862,94.91588419
Sub-Saharan Africa (excluding high income),23.7480082,29.94641956,33.6661516,36.3910625
South Sudan,17.83525628,23.55944496,25.28225248,27.9405169
Sub-Saharan Africa,23.75154141,29.95027449,33.6700609,36.3951607
Small states,48.52304829,55.66953149,59.16210373,61.20359929
Sao Tome and Principe,36.85015022,49.51676247,53.84095705,57.63044977
Suriname,65.92050132,71.14463093,75.47636021,78.60973639
Slovak Republic,90.035298,89.63704955,89.19147205,88.60850864
Slovenia,86.2006232,88.33013173,88.50426858,89.98809968
Sweden,90.11308657,90.63866428,88.96685851,89.04707592
Eswatini,28.72383893,38.18988177,42.36684662,45.86233995
Sint Maarten (Dutch part),,,,
Seychelles,79.04437074,78.09974828,77.59944215,78.98065381
Syrian Arab Republic,76.75090072,78.32914435,40.16115841,75.21266242
Turks and Caicos Islands,,,,
Chad,19.53541842,23.27313503,25.59505332,26.98545265
East Asia & Pacific (IDA & IBRD countries),74.87639281,81.09768309,83.34284681,85.08330549
Europe & Central Asia (IDA & IBRD countries),84.3316849,87.78413566,88.75256705,89.85036409
Togo,28.84450651,34.35151364,38.21149764,41.12047384
Thailand,63.2751835,71.2369036,73.81746288,76.58196686
Tajikistan,52.62851314,69.72211274,71.55259876,73.18801518
Turkmenistan,69.22012443,73.16014375,70.67149144,72.30438732
Latin America & the Caribbean (IDA & IBRD countries),66.77227916,67.6132596,74.29439589,75.2700441
Timor-Leste,30.15771697,47.2373253,48.3678515,53.0839424
Middle East & North Africa (IDA & IBRD countries),67.50055592,74.68827024,73.4308639,78.69140615
Tonga,78.45351403,80.58877085,81.7975014,79.40107847
South Asia (IDA & IBRD),44.05561461,54.83413708,61.25406676,65.27528819
Sub-Saharan Africa (IDA & IBRD countries),23.75154141,29.95027449,33.6700609,36.3951607
Trinidad and Tobago,79.33909058,79.92565931,82.36699851,82.65939987
Tunisia,78.68957422,83.53451145,84.15758131,85.94469887
Turkiye,80.11550682,88.82287977,88.76294541,90.16660801
Tuvalu,,,,
Tanzania,21.01737487,25.79102591,30.31407457,34.38113776
Uganda,19.15740751,25.28383619,30.98515038,35.58092265
Ukraine,88.03510287,90.57802723,90.93177298,91.85516493
Upper middle income,75.90899022,80.68723614,82.71853076,84.36152132
Uruguay,85.57470705,85.31751296,85.42404344,85.51001841
United States,87.87245327,88.10431931,88.04283144,88.14498048
Uzbekistan,72.54531612,80.36560063,82.86745078,85.18201864
St. Vincent and the Grenadines,76.70284843,77.02021561,78.8832248,79.0991012
"Venezuela, RB",63.6299637,66.57233426,66.36249663,65.05770037
British Virgin Islands,,,,
Virgin Islands (U.S.),,,,
Vietnam,72.90837128,78.40230515,80.40743375,81.36657083
Vanuatu,67.42303452,70.92493655,72.13499009,73.925557
World,60.80061207,67.62957618,71.22068231,73.6338213
Samoa,76.48453677,79.94330737,80.99568918,81.75137621
Kosovo,,,,
"Yemen, Rep.",41.25724814,51.27381357,50.0367984,50.36169685
South Africa,39.25058544,40.81419651,50.31046795,51.3300566
Zambia,20.39411261,28.83053228,33.19752461,34.79238151
Zimbabwe,16.00938647,28.87803966,36.94654898,39.25822757
